"filename", "language", "JSON", "JSON with Comments", "Log", "JavaScript", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "Prisma", "MS SQL", "comment", "blank", "total"
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\minigame.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\minigame.controller.ts", "TypeScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 6, 17, 83
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\minigame.gateway.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 15, 20, 115
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\minigame.module.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 12, 57
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\minigame.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\minigame.service.ts", "TypeScript", 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 8, 35, 164
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\services\dashboard.service.ts", "TypeScript", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 12, 19, 184
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\services\player.service.ts", "TypeScript", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 19, 120
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\services\ranking.service.ts", "TypeScript", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 20, 32, 193
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\services\round.service.ts", "TypeScript", 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 12, 64, 329
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\services\session.service.ts", "TypeScript", 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 10, 33, 246
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\services\submission.service.ts", "TypeScript", 0, 0, 0, 0, 240, 0, 0, 0, 0, 0, 27, 71, 338
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\simulation.service.ts", "TypeScript", 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 6, 51, 196
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\modules\minigame\types\round-simulation-input.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\src\prisma.service.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\api\tsconfig.json", "JSON with Comments", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\biome.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\next.config.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 8, 54
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\package-lock.json", "JSON", 2468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2469
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 5, 28
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\hooks\useRoundWatcher.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 13, 18, 110
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 3, 8, 56
"c:\Users\apglu\Desktop\projetos 2026\Simulador Mercado R2\simulador\web\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 9, 19, 168
